Current,Voltage,Temperature,SOC,SOC_Estimate
14.9818,3.9043,300,0.562963,0.590642
15.0285,3.95113,300,0.563117,0.590703
15.013,3.93574,300,0.563272,0.590927
15.1575,4.08047,300,0.563426,0.591095
15.0026,3.92568,300,0.56358,0.591766
15.0025,3.92573,300,0.563735,0.59189
15.0256,3.94903,300,0.563889,0.592013
14.9234,3.84694,300,0.564043,0.592217
15.0539,3.97759,300,0.564198,0.592063
15.1439,4.06772,300,0.564352,0.592367
15.0952,4.01921,300,0.564506,0.592984
15.1294,4.05358,300,0.56466,0.593425
15.0034,3.92771,300,0.564815,0.593982
14.8754,3.79983,300,0.564969,0.594091
14.8184,3.74299,300,0.565123,0.593751
15.0448,3.96958,300,0.565278,0.59322
15.0611,3.98601,300,0.565432,0.59349
14.9552,3.8803,300,0.565586,0.593814
15.0181,3.94329,300,0.565741,0.593766
14.8992,3.8246,300,0.565895,0.59394
14.9436,3.8691,300,0.566049,0.593699
15.1332,4.05894,300,0.566204,0.593618
15.0743,4.00018,300,0.566358,0.594199
14.897,3.82297,300,0.566512,0.594569
15.0256,3.95179,300,0.566667,0.594319
14.7831,3.70942,300,0.566821,0.594521
15.0294,3.95587,300,0.566975,0.593879
15.04,3.96662,300,0.56713,0.594104
14.8952,3.82201,300,0.567284,0.594364
14.8305,3.75739,300,0.567438,0.59412
15.1144,4.0415,300,0.567593,0.593658
15.1513,4.07857,300,0.567747,0.594184
14.9849,3.91229,300,0.567901,0.594832
14.9448,3.87234,300,0.568056,0.594899
14.868,3.79573,300,0.56821,0.594827
15.0479,3.97577,300,0.568364,0.594493
14.9629,3.89094,300,0.568519,0.594787
14.8573,3.78544,300,0.568673,0.594785
14.9533,3.88161,300,0.568827,0.59442
15.0695,3.99792,300,0.568981,0.594393
14.9742,3.90278,300,0.569136,0.594767
15.0218,3.95054,300,0.56929,0.59481
14.9164,3.8453,300,0.569444,0.595017
14.9547,3.88377,300,0.569599,0.594861
15.0891,4.01837,300,0.569753,0.59484
14.9902,3.91955,300,0.569907,0.595282
15.063,3.99255,300,0.570062,0.59538
15.067,3.99665,300,0.570216,0.595728
15.0075,3.9373,300,0.57037,0.596087
15.0834,4.01337,300,0.570525,0.596238
15.042,3.97213,300,0.570679,0.59665
14.9003,3.83061,300,0.570833,0.596915
15.1107,4.04117,300,0.570988,0.596691
14.9391,3.86972,300,0.571142,0.597195
14.7995,3.7303,300,0.571296,0.597104
15.0665,3.99742,300,0.571451,0.596535
14.9231,3.85414,300,0.571605,0.596893
15.1564,4.0876,300,0.571759,0.596757
14.8537,3.78505,300,0.571914,0.597423
14.8059,3.73739,300,0.572068,0.597044
14.9222,3.85392,300,0.572222,0.596509
14.9342,3.86603,300,0.572377,0.596382
15.0028,3.93481,300,0.572531,0.5963
15.0814,4.01352,300,0.572685,0.596454
15.0936,4.02588,300,0.572839,0.596874
14.9056,3.83801,300,0.572994,0.597332
14.9826,3.91519,300,0.573148,0.597144
14.9244,3.85715,300,0.573302,0.597223
15.0949,4.02785,300,0.573457,0.597105
15.1164,4.04945,300,0.573611,0.597569
15.0463,3.97953,300,0.573765,0.598103
14.8455,3.77892,300,0.57392,0.598392
14.9794,3.91293,300,0.574074,0.597993
15.095,4.02869,300,0.574228,0.598059
15.0088,3.94263,300,0.574383,0.598519
14.9913,3.92532,300,0.574537,0.598681
15.0122,3.94636,300,0.574691,0.598782
15.1283,4.06255,300,0.574846,0.598956
15.0233,3.95774,300,0.575,0.599524
14.8519,3.78651,300,0.575154,0.599728
14.8208,3.75561,300,0.575309,0.599345
14.9732,3.9081,300,0.575463,0.598864
15.0976,4.03266,300,0.575617,0.598911
15.0511,3.98631,300,0.575772,0.599382
15.0069,3.94224,300,0.575926,0.59969
14.9027,3.83819,300,0.57608,0.599846
15.0614,3.99705,300,0.576235,0.599645
14.9376,3.87344,300,0.576389,0.59999
14.9035,3.83954,300,0.576543,0.59991
14.9904,3.92655,300,0.576698,0.599718
14.931,3.86733,300,0.576852,0.599824
14.9723,3.90874,300,0.577006,0.59973
15.1249,4.06153,300,0.57716,0.599779
14.9163,3.85305,300,0.577315,0.600344
14.8517,3.78858,300,0.577469,0.600197
14.9209,3.85794,300,0.577623,0.599835
15.0129,3.95009,300,0.577778,0.599715
15.1928,4.13022,300,0.577932,0.599908
15.0669,4.00444,300,0.578086,0.600707
14.994,3.9317,300,0.578241,0.601073
15.0466,3.98444,300,0.578395,0.601189
15.0814,4.01938,300,0.578549,0.601483
15.0473,3.9854,300,0.578704,0.601892
14.9107,3.84904,300,0.578858,0.602183
15.1692,4.10765,300,0.579012,0.602006
14.8865,3.82508,300,0.579167,0.602712
14.9906,3.92936,300,0.579321,0.602449
14.8598,3.79868,300,0.579475,0.602547
15.0346,3.97366,300,0.57963,0.6022
14.9791,3.91835,300,0.579784,0.602453
14.9714,3.91078,300,0.579938,0.602516
15.1057,4.0452,300,0.580093,0.602555
14.9016,3.84132,300,0.580247,0.603048
15.1858,4.1256,300,0.580401,0.602846
15.0913,4.03125,300,0.580556,0.603609
15.011,3.9511,300,0.58071,0.604046
14.9364,3.87673,300,0.580864,0.604206
15.0879,4.02831,300,0.581019,0.604112
15.0317,3.97234,300,0.581173,0.604536
14.98,3.92071,300,0.581327,0.604765
15.1472,4.08815,300,0.581481,0.604817
15.1051,4.04613,300,0.581636,0.605439
14.9519,3.8931,300,0.58179,0.605912
15.1361,4.07743,300,0.581944,0.605858
14.9595,3.90103,300,0.582099,0.606435
14.8316,3.77327,300,0.582253,0.606404
14.9591,3.90094,300,0.582407,0.60594
15.0333,3.9753,300,0.582562,0.605919
14.9943,3.93648,300,0.582716,0.606153
14.9172,3.85946,300,0.58287,0.606253
14.8364,3.77889,300,0.583025,0.606093
15.054,3.99655,300,0.583179,0.605663
14.9707,3.91347,300,0.583333,0.605977
14.9709,3.91378,300,0.583488,0.606008
14.84,3.78303,300,0.583642,0.60604
15.1024,4.04565,300,0.583796,0.605633
14.9791,3.92243,300,0.583951,0.606116
15.131,4.07454,300,0.584105,0.60618
14.9051,3.84878,300,0.584259,0.606757
15.0919,4.0357,300,0.584414,0.606566
14.9127,3.85665,300,0.584568,0.607009
14.8041,3.74824,300,0.584722,0.606844
14.9776,3.9219,300,0.584877,0.606318
14.978,3.92241,300,0.585031,0.606385
15.0502,3.99476,300,0.585185,0.606455
15.0186,3.96334,300,0.585339,0.606767
15.1175,4.06245,300,0.585494,0.60697
15.0084,3.95343,300,0.585648,0.607504
14.9875,3.9327,300,0.585802,0.607667
14.8154,3.76075,300,0.585957,0.607759
14.9403,3.88586,300,0.586111,0.607273
15.0018,3.94749,300,0.586265,0.607216
15.0232,3.96899,300,0.58642,0.607368
14.8449,3.79091,300,0.586574,0.60759
15.1054,4.05158,300,0.586728,0.607215
15.0837,4.03002,300,0.586883,0.607717
14.8844,3.83083,300,0.587037,0.608141
14.8002,3.74681,300,0.587191,0.607895
15.0405,3.98723,300,0.587346,0.607374
14.9935,3.94042,300,0.5875,0.607663
14.9898,3.93686,300,0.587654,0.607794
14.8602,3.8074,300,0.587809,0.607912
15.215,4.16232,300,0.587963,0.607598
14.9224,3.86996,300,0.588117,0.608469
15.0064,3.9541,300,0.588272,0.608358
14.9084,3.85617,300,0.588426,0.608529
14.7657,3.71364,300,0.58858,0.608374
14.9317,3.87984,300,0.588735,0.607749
15.0422,3.99044,300,0.588889,0.607686
14.908,3.85646,300,0.589043,0.607991
14.938,3.88658,300,0.589198,0.607849
14.9701,3.9188,300,0.589352,0.60781
15.0844,4.03325,300,0.589506,0.607879
15.0296,3.97869,300,0.58966,0.608325
15.0673,4.01651,300,0.589815,0.608587
15.0633,4.01268,300,0.589969,0.608971
14.9423,3.8918,300,0.590123,0.609338
15.1517,4.10139,300,0.590278,0.609301
15.0667,4.01648,300,0.590432,0.60996
14.8361,3.78612,300,0.590586,0.61033
15.0822,4.03235,300,0.590741,0.60993
14.8708,3.82105,300,0.590895,0.610355
15.112,4.0624,300,0.591049,0.610074
15.0168,3.96737,300,0.591204,0.610599
15.0205,3.97125,300,0.591358,0.610803
15.0566,4.00748,300,0.591512,0.611018
15.1029,4.05393,300,0.591667,0.611352
14.9591,3.91033,300,0.591821,0.611838
14.9177,3.86903,300,0.591975,0.61184
15.1342,4.08573,300,0.59213,0.611706
15.0723,4.02397,300,0.592284,0.612296
14.8149,3.7667,300,0.592438,0.612674
15.0003,3.95224,300,0.592593,0.61219
14.9854,3.93753,300,0.592747,0.612334
14.9029,3.85515,300,0.592901,0.612428
14.9366,3.88907,300,0.593056,0.612248
15.0702,4.02275,300,0.59321,0.612186
15.2156,4.16829,300,0.593364,0.612568
15.1072,4.06005,300,0.593518,0.613429
14.9388,3.89183,300,0.593673,0.613922
14.976,3.92917,300,0.593827,0.613849
14.967,3.92036,300,0.593982,0.613903
15.0024,3.95589,300,0.594136,0.613929
14.9821,3.93577,300,0.59429,0.614074
14.9358,3.88958,300,0.594444,0.614152
14.9755,3.92948,300,0.594599,0.614076
14.9404,3.89455,300,0.594753,0.614136
15.1282,4.08244,300,0.594907,0.614081
15.0611,4.01557,300,0.595062,0.614649
15.078,4.03256,300,0.595216,0.614991
14.9862,3.94092,300,0.59537,0.615386
14.9702,3.92507,300,0.595525,0.615472
15.0697,4.02478,300,0.595679,0.615506
14.8627,3.81792,300,0.595833,0.615872
15.18,4.13535,300,0.595988,0.615547
15.1295,4.085,300,0.596142,0.616282
15.1798,4.13545,300,0.596296,0.616843
15.0137,3.96952,300,0.596451,0.617566
15.0773,4.0333,300,0.596605,0.617728
14.846,3.80215,300,0.596759,0.618103
14.8805,3.83681,300,0.596914,0.617701
14.9895,3.94595,300,0.597068,0.617424
14.8897,3.8463,300,0.597222,0.617516
14.9436,3.90029,300,0.597377,0.617278
15.0191,3.97601,300,0.597531,0.617224
15.002,3.95904,300,0.597685,0.617424
